id,filepath,class,timestamp,x_min,y_min,width,height
0,podolic_cow.png,podolic_cow,2025-02-20T10:42:37,0.6979,0.075,0.302,0.8768
1,bird.png,bird,,0.225,0.6601,0.1776,0.3175
2,bird (1).png,bird,,0.5687,0.5398,0.1078,0.1796
4,bird (2).png,bird,,0.2963,0.737,0.0864,0.1935
5,butterfly.png,butterfly,,0.0369,0.0481,0.0317,0.1851
6,podolic_cow (2).png,podolic_cow,2025-03-03T12:23:04,0.1989,0.0546,0.489,0.8962
8,podolic_cow (4).png,podolic_cow,,0.3453,0.0805,0.6546,0.8694
9,cat.png,cat,,0.613,0.6518,0.15,0.1537
10,bird (3).png,bird,,0.3786,0.4703,0.2671,0.3277
12,fox (1).png,fox,2025-02-15T11:18:49,0.1432,0.4379,0.0562,0.1444
13,podolic_cow (5).png,podolic_cow,2025-01-12T10:10:42,0.0,0.1425,0.6447,0.8101
14,podolic_cow (6).png,podolic_cow,,0.2729,0.0,0.5635,0.9509
15,podolic_cow (7).png,podolic_cow,,0.0,0.1472,0.6499,0.8037
16,fox (2).png,fox,,0.0,0.6296,0.0796,0.1879
18,podolic_cow (8).png,podolic_cow,,0.0,0.0666,0.2374,0.8861
20,podolic_cow (10).png,podolic_cow,,0.0,0.1925,0.2354,0.5046
21,bird (5).png,bird,,0.563,0.5925,0.0734,0.1324
22,podolic_cow (11).png,podolic_cow,2025-01-16T16:05:33,0.4781,0.0009,0.5218,0.9499
23,podolic_cow (12).png,podolic_cow,,0.2062,0.0,0.3927,0.4277
24,podolic_cow (13).png,podolic_cow,2025-03-17T10:21:13,0.3416,0.1962,0.5161,0.7546
25,bird (6).png,bird,,0.3427,0.5055,0.0583,0.0777
26,cat (1).png,cat,2025-03-30T10:15:01,0.327,0.7361,0.2005,0.2259
27,podolic_cow (14).png,podolic_cow,2025-02-20T10:45:32,0.2697,0.0046,0.7296,0.9462
29,bird (7).png,bird,,0.2619,0.6499,0.1213,0.3416
30,wolf.png,wolf,2025-03-30T07:57:45,0.526,0.874,0.1078,0.125
31,podolic_cow (16).png,podolic_cow,2025-02-23T18:08:27,0.5213,0.2111,0.4499,0.5833
